,"Etat","Absence","CESP","Etudiant","Voeu","Rang","Subdivision","Discipline","Désir (non officiel)","Offre","SubDis"
194,"affecté","","","185","1","1/1","BORDEAUX","Spécialité chirurgicale : Neurochirurgie","","1","[037029]"
195,"affecté","","","186","1","1/21","LYON","Spécialité chirurgicale : Chirurgie générale","Chirurgie viscérale et digestive","21","[026028]"
196,"affecté","","","187","1","4/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie urologique","63","[015028]"
197,"affecté","","","188","1","2/13","ROUEN","Discipline : ANESTHÉSIE réanimation","","13","[024004]"
198,"affecté","","","189","1","1/105","RENNES","Discipline : MÉDECINE générale","","105","[032011]"
199,"affecté","","","190","1","3/45","ILE DE FRANCE","Spécialité médicale : Cardiologie et maladies vasculaires","","45","[015013]"
200,"affecté","","","191","1","1/5","SAINT ETIENNE","Discipline : PÉDIATRIE","","5","[027002]"
201,"affecté","","","192","1","10/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
202,"affecté","","","193","1","2/6","AIX MARSEILLE","Spécialité chirurgicale : Ophtalmologie","","6","[034030]"
203,"affecté","","","194","1","1/15","NANCY","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","15","[018028]"
204,"affecté","","","195","1","3/17","BORDEAUX","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","17","[037028]"
205,"affecté","","","196","1","1/5","MONTPELLIER","Spécialité médicale : Endocrinologie, diabÃ¨te, maladies métaboliques","","5","[035015]"
206,"affecté","","","197","1","11/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
207,"affecté","","","198","1","4/15","ILE DE FRANCE","Spécialité médicale : Néphrologie","","15","[015022]"
208,"affecté","","","199","1","1/8","AIX MARSEILLE","Spécialité médicale : Cardiologie et maladies vasculaires","","8","[034013]"
209,"affecté","","","200","1","1/10","CLERMONT-FERRAND","Spécialité chirurgicale : Chirurgie générale","Chirurgie viscérale et digestive","10","[038028]"
210,"affecté","","","201","1","3/4","BORDEAUX","Spécialité médicale : Rhumatologie","","4","[037027]"
211,"affecté","","","202","1","1/6","ROUEN","Spécialité médicale : Cardiologie et maladies vasculaires","","6","[024013]"
212,"affecté","","","203","1","1/5","MONTPELLIER","Spécialité médicale : Neurologie","","5","[035023]"
213,"affecté","","","204","1","4/25","LYON","Discipline : ANESTHÉSIE réanimation","","25","[026004]"
214,"affecté","","","205","1","2/199","BORDEAUX","Discipline : MÉDECINE générale","","199","[037011]"
215,"affecté","","","206","1","2/45","ILE DE FRANCE","Discipline : GYNÉCOLOGIE obstétrique","","45","[015009]"
217,"affecté","","","208","1","1/4","TOULOUSE","Discipline : GYNÉCOLOGIE médicale","","4","[040005]"
218,"affecté","","","209","1","1/5","BESANCON","Spécialité médicale : Cardiologie et maladies vasculaires","","5","[016013]"
219,"affecté","","","210","1","5/63","ILE DE FRANCE","Spécialité chirurgicale : Chirurgie générale","Chirurgie plastique, reconstructrice et esthétique","63","[015028]"
220,"affecté","","","211","1","2/6","TOULOUSE","Spécialité chirurgicale : Ophtalmologie","","6","[040030]"
221,"affecté","absence","","212","1","10/20","ILE DE FRANCE","Spécialité médicale : Neurologie","","20","[015023]"
222,"affecté","","","213","1","1/4","NANTES","Spécialité médicale : Médecine interne","","4","[030019]"
223,"affecté","","","214","1","1/3","GRENOBLE","Spécialité médicale : Neurologie","","3","[025023]"
224,"affecté","","","215","1","8/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
225,"affecté","absence","","216","1","1/4","BORDEAUX","Discipline : GYNÉCOLOGIE médicale","","4","[037005]"
226,"affecté","","","217","1","2/611","ILE DE FRANCE","Discipline : MÉDECINE générale","","611","[015011]"
227,"affecté","absence","","218","1","4/45","ILE DE FRANCE","Spécialité médicale : Cardiologie et maladies vasculaires","","45","[015013]"
228,"affecté","","","219","1","3/45","ILE DE FRANCE","Discipline : GYNÉCOLOGIE obstétrique","","45","[015009]"
229,"affecté","","","220","1","5/15","ILE DE FRANCE","Spécialité médicale : Néphrologie","","15","[015022]"
231,"affecté","","","222","1","1/2","AIX MARSEILLE","Spécialité médicale : Médecine nucléaire","","2","[034020]"
232,"affecté","","","223","1","1/2","LYON","Discipline : GYNÉCOLOGIE médicale","","2","[026005]"
233,"affecté","","","224","1","12/30","ILE DE FRANCE","Spécialité médicale : Médecine interne","","30","[015019]"
234,"affecté","absence","","225","1","6/15","ILE DE FRANCE","Spécialité médicale : Néphrologie","","15","[015022]"
235,"affecté","","","226","1","1/179","LYON","Discipline : MÉDECINE générale","","179","[026011]"
236,"affecté","absence","","227","1","1/111","NANTES","Discipline : MÉDECINE générale","","111","[030011]"
237,"affecté","","","228","1","2/10","AIX MARSEILLE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","10","[034026]"
238,"affecté","","","229","1","1/15","MONTPELLIER","Discipline : PSYCHIATRIE","","15","[035010]"
239,"affecté","","","230","1","4/45","ILE DE FRANCE","Discipline : GYNÉCOLOGIE obstétrique","","45","[015009]"
240,"affecté","","","231","1","2/9","TOULOUSE","Spécialité médicale : Cardiologie et maladies vasculaires","","9","[040013]"
241,"affecté","absence","","232","1","4/9","BORDEAUX","Spécialité médicale : Cardiologie et maladies vasculaires","","9","[037013]"
242,"affecté","","","233","2","1/1","TOULOUSE","Spécialité chirurgicale : Neurochirurgie","","1","[040029]"
243,"affecté","","","234","1","1/6","LYON","Spécialité médicale : Neurologie","","6","[026023]"
244,"affecté","","","235","1","3/92","ILE DE FRANCE","Discipline : ANESTHÉSIE réanimation","","92","[015004]"
245,"affecté","","","236","1","1/4","STRASBOURG","Spécialité médicale : Dermatologie et vénérologie","","4","[020014]"
246,"affecté","absence","","237","1","2/21","LYON","Spécialité chirurgicale : Chirurgie générale","Chirurgie maxillo-faciale et stomatologie","21","[026028]"
247,"affecté","","","238","1","1/3","TOURS","Spécialité médicale : Dermatologie et vénérologie","","3","[033014]"
248,"affecté","","","239","1","7/15","ILE DE FRANCE","Spécialité médicale : Néphrologie","","15","[015022]"
249,"affecté","absence","","240","1","1/4","NANCY","Spécialité médicale : Gastro-entérologie et hépatologie","","4","[018016]"
250,"affecté","absence","","241","1","8/15","ILE DE FRANCE","Spécialité médicale : Néphrologie","","15","[015022]"
251,"affecté","absence","","242","1","3/21","LYON","Spécialité chirurgicale : Chirurgie générale","Chirurgie orthopédique et traumatologique","21","[026028]"
252,"affecté","","","243","1","2/5","BORDEAUX","Spécialité médicale : Dermatologie et vénérologie","","5","[037014]"
253,"affecté","","","244","1","2/22","TOULOUSE","Discipline : ANESTHÉSIE réanimation","","22","[040004]"
254,"affecté","","","245","1","9/50","ILE DE FRANCE","Spécialité médicale : Radiodiagnostic et imagerie médicale","","50","[015026]"
255,"affecté","","","246","1","14/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
256,"affecté","","","247","1","2/18","ILE DE FRANCE","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","18","[015031]"
257,"affecté","","","248","1","1/7","MONTPELLIER","Spécialité médicale : Cardiologie et maladies vasculaires","","7","[035013]"
258,"affecté","","","249","1","1/12","CLERMONT-FERRAND","Discipline : ANESTHÉSIE réanimation","","12","[038004]"
259,"affecté","","","250","1","15/29","ILE DE FRANCE","Spécialité chirurgicale : Ophtalmologie","","29","[015030]"
260,"affecté","","","251","1","3/18","ILE DE FRANCE","Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale","","18","[015031]"
