;Etat;Absence;CESP;Etudiant;Voeu;Rang;Subdivision;Discipline;Désir (non officiel);Offre;SubDis;;
47;simulé;absence;;38;1;1/16;BORDEAUX;Discipline : ANESTHÉSIE réanimation;;16;[037004];;
48;simulé;;;39;1;1/4;BORDEAUX;Spécialité médicale : Anatomie et cytologie pathologique;;4;[037012];;
49;simulé;;;40;1;1/45;ILE DE FRANCE;Discipline : GYNÉCOLOGIE obstétrique;;45;[015009];;
50;simulé;absence;;41;1;4/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
52;simulé;;;43;1;1/5;GRENOBLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;5;[025026];;
53;simulé;;;44;1;1/6;MONTPELLIER;Spécialité médicale : Médecine interne;;6;[035019];;
54;simulé;;;45;1;1/8;LYON;Spécialité médicale : Médecine interne;;8;[026019];;
55;simulé;;;46;1;4/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
56;simulé;;;47;1;1/7;LILLE;Spécialité médicale : Neurologie;;7;[023023];;
57;simulé;;;48;1;1/2;CLERMONT-FERRAND;Spécialité médicale : Néphrologie;;2;[038022];;
58;simulé;;;49;1;1/22;AIX MARSEILLE;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;22;[034028];
59;simulé;;;50;1;1/3;STRASBOURG;Spécialité médicale : Neurologie;;3;[020023];;
60;simulé;;;51;1;1/10;BORDEAUX;Spécialité médicale : Radiodiagnostic et imagerie médicale;;10;[037026];;
61;simulé;absence;;52;1;1/12;GRENOBLE;Discipline : ANESTHÉSIE réanimation;;12;[025004];;
63;simulé;;;54;1;2/15;ILE DE FRANCE;Spécialité médicale : Néphrologie;;15;[015022];;
64;simulé;absence;;55;1;5/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
65;simulé;;;56;1;1/63;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie viscérale et digestive;63;[015028];;
66;simulé;;;57;1;1/17;ILE DE FRANCE;Spécialité médicale : Pneumologie;;17;[015025];;
67;simulé;;;58;1;1/79;ILE DE FRANCE;Discipline : PÉDIATRIE;;79;[015002];;
68;simulé;;;59;1;1/5;LILLE;Spécialité médicale : Néphrologie;;5;[023022];;
69;simulé;;;60;1;1/3;STRASBOURG;Spécialité médicale : Néphrologie;;3;[020022];;
70;simulé;;;61;1;1/3;MONTPELLIER;Spécialité chirurgicale : Ophtalmologie;;3;[035030];;
71;simulé;;;62;1;1/611;ILE DE FRANCE;Discipline : MÉDECINE générale;;611;[015011];;
72;simulé;;;63;1;1/9;BORDEAUX;Spécialité médicale : Cardiologie et maladies vasculaires;;9;[037013];;
73;simulé;;CESP;64;1;1/6;LILLE;Discipline : MÉDECINE générale;;6;;;
74;simulé;;;65;1;2/12;GRENOBLE;Discipline : ANESTHÉSIE réanimation;;12;[025004];;
75;simulé;;;66;1;2/16;BORDEAUX;Discipline : ANESTHÉSIE réanimation;;16;[037004];;
76;simulé;;;67;1;1/7;RENNES;Spécialité médicale : Cardiologie et maladies vasculaires;;7;[032013];;
77;simulé;;;68;1;1/5;STRASBOURG;Spécialité chirurgicale : Ophtalmologie;;5;[020030];;
78;simulé;;;69;1;1/1;NANTES;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;1;[030031];;
79;simulé;;;70;1;1/4;LYON;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;4;[026031];;
80;simulé;;;71;1;2/9;BORDEAUX;Spécialité médicale : Cardiologie et maladies vasculaires;;9;[037013];;
81;simulé;;;72;1;3/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
82;simulé;;;73;1;2/16;MONTPELLIER;Discipline : ANESTHÉSIE réanimation;;16;[035004];;
83;simulé;;;74;1;6/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
84;simulé;;;75;1;3/16;BORDEAUX;Discipline : ANESTHÉSIE réanimation;;16;[037004];;
85;simulé;;;76;1;4/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
86;simulé;;;77;1;1/6;NANTES;Spécialité médicale : Radiodiagnostic et imagerie médicale;;6;[030026];;
87;simulé;;;78;1;1/92;ILE DE FRANCE;Discipline : ANESTHÉSIE réanimation;;92;[015004];;
88;simulé;;;79;1;4/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
89;simulé;;;80;1;3/12;GRENOBLE;Discipline : ANESTHÉSIE réanimation;;12;[025004];;
90;simulé;;;81;1;1/4;TOULOUSE;Spécialité médicale : Néphrologie;;4;[040022];;
91;simulé;;;82;1;1/7;MONTPELLIER;Spécialité médicale : Radiodiagnostic et imagerie médicale;;7;[035026];;
92;simulé;;;83;1;1/6;CLERMONT-FERRAND;Spécialité médicale : Cardiologie et maladies vasculaires;;6;[038013];;
93;simulé;;;84;1;5/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
94;simulé;;;85;1;1/11;LILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;11;[023013];;
96;simulé;;;87;1;3/9;BORDEAUX;Spécialité médicale : Cardiologie et maladies vasculaires;;9;[037013];;
97;simulé;;;88;1;1/4;ILE DE FRANCE;Spécialité chirurgicale : Neurochirurgie;;4;[015029];;
98;simulé;;;89;1;1/5;AIX MARSEILLE;Spécialité médicale : Gastro-entérologie et hépatologie;;5;[034016];;
99;simulé;;;90;1;6/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
100;simulé;;;91;1;1/4;LYON;Spécialité médicale : Dermatologie et vénérologie;;4;[026014];;
101;simulé;;;92;1;2/8;LYON;Spécialité médicale : Médecine interne;;8;[026019];;
102;simulé;;;93;1;2/13;LYON;Spécialité médicale : Radiodiagnostic et imagerie médicale;;13;[026026];;
103;simulé;;;94;1;4/16;BORDEAUX;Discipline : ANESTHÉSIE réanimation;;16;[037004];;
104;simulé;;;95;1;1/31;LILLE;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;31;[023028];
105;simulé;;;96;1;5/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
106;simulé;;;97;1;3/15;ILE DE FRANCE;Spécialité médicale : Néphrologie;;15;[015022];;
107;simulé;;;98;1;2/25;LYON;Discipline : ANESTHÉSIE réanimation;;25;[026004];;
108;simulé;;;99;1;1/2;LYON;Spécialité médicale : Anatomie et cytologie pathologique;;2;[026012];;
109;simulé;absence;;100;1;6/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
110;simulé;absence;;101;1;5/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
111;simulé;;;102;1;3/17;LILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;17;[023026];;
112;simulé;;;103;1;1/12;GRENOBLE;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;12;[025028];;
113;simulé;;;104;1;1/15;TOULOUSE;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;15;[040028];
114;simulé;;;105;1;7/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
115;simulé;;;106;1;2/92;ILE DE FRANCE;Discipline : ANESTHÉSIE réanimation;;92;[015004];;
116;simulé;absence;;107;1;1/25;ILE DE FRANCE;Spécialité médicale : Oncologie;;25;[015024];;
117;simulé;absence;;108;1;2/9;ILE DE FRANCE;Spécialité médicale : Hématologie;;9;[015018];;
118;simulé;;;109;1;7/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
119;simulé;absence;;110;1;1/10;LYON;Spécialité médicale : Cardiologie et maladies vasculaires;;10;[026013];;
120;simulé;;;111;1;7/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
121;simulé;absence;;112;1;2/10;LYON;Spécialité médicale : Cardiologie et maladies vasculaires;;10;[026013];;
122;simulé;;;113;1;1/4;AIX MARSEILLE;Spécialité médicale : Néphrologie;;4;[034022];;
123;simulé;;;114;1;1/4;BORDEAUX;Spécialité médicale : Endocrinologie, diabète, maladies métaboliques; diabÃ¨te; maladies métaboliques;;4;[037015]
124;simulé;;;115;1;1/3;TOULOUSE;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;3;[040031];;
125;simulé;absence;;116;1;2/79;ILE DE FRANCE;Discipline : PÉDIATRIE;;79;[015002];;
126;simulé;absence;;117;1;1/4;NANTES;Spécialité médicale : Gastro-entérologie et hépatologie;;4;[030016];;
127;simulé;;;118;1;2/7;MONTPELLIER;Spécialité médicale : Radiodiagnostic et imagerie médicale;;7;[035026];;
128;simulé;;;119;1;1/22;AIX MARSEILLE;Discipline : ANESTHÉSIE réanimation;;22;[034004];;
129;simulé;;;120;1;1/17;ILE DE FRANCE;Spécialité médicale : Dermatologie et vénérologie;;17;[015014];;
130;simulé;;;121;1;1/4;LILLE;Spécialité médicale : Dermatologie et vénérologie;;4;[023014];;
131;simulé;absence;;122;1;1/6;BORDEAUX;Discipline : SANTÉ PUBLIQUE;;6;[037007];;
132;simulé;;;123;1;8/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
133;simulé;;;124;1;1/14;STRASBOURG;Spécialité chirurgicale : Chirurgie générale;Chirurgie urologique;14;[020028];;
134;simulé;;;125;1;1/2;CLERMONT-FERRAND;Spécialité médicale : Endocrinologie, diabète, maladies métaboliques; diabÃ¨te; maladies métaboliques;;2;[038015]
135;simulé;;;126;1;1/86;CLERMONT-FERRAND;Discipline : MÉDECINE générale;;86;[038011];;
136;simulé;;;127;1;2/63;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;63;[015028];
137;simulé;;;128;1;3/79;ILE DE FRANCE;Discipline : PÉDIATRIE;;79;[015002];;
138;simulé;;;129;1;4/12;GRENOBLE;Discipline : ANESTHÉSIE réanimation;;12;[025004];;
139;simulé;;;130;1;1/24;TOULOUSE;Discipline : PSYCHIATRIE;;24;[040010];;
140;simulé;;;131;1;1/3;NANTES;Spécialité médicale : Neurologie;;3;[030023];;
142;simulé;;;133;1;1/9;LYON;Spécialité chirurgicale : Ophtalmologie;;9;[026030];;
143;simulé;;;134;1;1/14;LILLE;Discipline : GYNÉCOLOGIE obstétrique;;14;[023009];;
144;simulé;;;135;1;1/13;ROUEN;Discipline : ANESTHÉSIE réanimation;;13;[024004];;
145;simulé;;;136;1;3/13;LYON;Spécialité médicale : Radiodiagnostic et imagerie médicale;;13;[026026];;
146;simulé;absence;;137;1;1/6;BORDEAUX;Spécialité chirurgicale : Ophtalmologie;;6;[037030];;
147;simulé;;;138;1;3/63;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;63;[015028];
148;simulé;absence;;139;1;6/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
149;simulé;;;140;1;9/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
150;simulé;;;141;1;3/9;ILE DE FRANCE;Spécialité médicale : Hématologie;;9;[015018];;
151;simulé;absence;;142;1;1/4;OCEAN INDIEN;Discipline : ANESTHÉSIE réanimation;;4;[042004];;
152;simulé;;;143;1;1/4;BORDEAUX;Spécialité médicale : Rhumatologie;;4;[037027];;
153;simulé;;;144;1;2/4;BORDEAUX;Spécialité médicale : Néphrologie;;4;[037022];;
154;simulé;absence;;145;1;1/4;NANTES;Spécialité médicale : Pneumologie;;4;[030025];;
155;simulé;;;146;1;1/3;LILLE;Spécialité médicale : Hématologie;;3;[023018];;
156;simulé;absence;;147;1;10/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
157;simulé;;;148;1;2/11;LILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;11;[023013];;
158;simulé;;;149;1;1/157;TOULOUSE;Discipline : MÉDECINE générale;;157;[040011];;
159;simulé;;;150;1;1/9;TOULOUSE;Spécialité médicale : Cardiologie et maladies vasculaires;;9;[040013];;
160;simulé;;;151;1;8/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
161;simulé;;;152;1;5/12;GRENOBLE;Discipline : ANESTHÉSIE réanimation;;12;[025004];;
162;simulé;absence;;153;1;1/18;ILE DE FRANCE;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;18;[015031];;
163;simulé;;;154;1;11/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
164;simulé;;;155;1;2/157;TOULOUSE;Discipline : MÉDECINE générale;;157;[040011];;
165;simulé;;;156;1;2/7;LILLE;Spécialité médicale : Neurologie;;7;[023023];;
167;simulé;absence;;158;1;3/25;LYON;Discipline : ANESTHÉSIE réanimation;;25;[026004];;
168;simulé;;;159;1;7/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
169;simulé;;;160;1;12/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
170;simulé;absence;;161;1;13/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
171;simulé;;;162;1;8/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
172;simulé;;;163;1;2/4;BORDEAUX;Spécialité médicale : Rhumatologie;;4;[037027];;
173;simulé;;;164;1;1/6;LYON;Spécialité médicale : Pneumologie;;6;[026025];;
174;simulé;;;165;1;2/21;ILE DE FRANCE;Spécialité médicale : Gastro-entérologie et hépatologie;;21;[015016];;
175;simulé;absence;;166;1;3/16;MONTPELLIER;Discipline : ANESTHÉSIE réanimation;;16;[035004];;
176;rien;;;167;;;;car aucun vœu;;;;;
177;simulé;;;168;1;2/5;STRASBOURG;Spécialité chirurgicale : Ophtalmologie;;5;[020030];;
178;simulé;;;169;1;2/22;AIX MARSEILLE;Spécialité chirurgicale : Chirurgie générale;Chirurgie thoracique et cardio-vasculaire;22;[034028];;
179;simulé;absence;;170;1;9/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
180;simulé;;;171;1;1/5;MONTPELLIER;Spécialité médicale : Dermatologie et vénérologie;;5;[035014];;
181;ESSA;;;172;;;;pas de procédure CELINE car Etudiant du Service de Santé des Armées;;;;;
182;simulé;;;173;1;2/25;ILE DE FRANCE;Spécialité médicale : Oncologie;;25;[015024];;
183;simulé;absence;;174;1;2/17;BORDEAUX;Spécialité chirurgicale : Chirurgie générale;Chirurgie urologique;17;[037028];;
184;simulé;;;175;1;1/3;MONTPELLIER;Spécialité médicale : Oncologie;;3;[035024];;
185;simulé;;;176;1;9/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
186;simulé;;;177;1;1/5;BORDEAUX;Spécialité médicale : Gastro-entérologie et hépatologie;;5;[037016];;
187;simulé;absence;;178;1;1/6;NANTES;Spécialité médicale : Cardiologie et maladies vasculaires;;6;[030013];;
188;ESSA;;;179;;;;pas de procédure CELINE car Etudiant du Service de Santé des Armées;;;;;
189;simulé;;;180;1;1/10;AIX MARSEILLE;Discipline : GYNÉCOLOGIE obstétrique;;10;[034009];;
190;simulé;;;181;1;1/22;TOULOUSE;Discipline : ANESTHÉSIE réanimation;;22;[040004];;
191;simulé;;;182;1;1/5;BORDEAUX;Spécialité médicale : Dermatologie et vénérologie;;5;[037014];;
192;simulé;absence;;183;1;1/6;AIX MARSEILLE;Spécialité médicale : Médecine interne;;6;[034019];;
193;simulé;;;184;1;3/8;LYON;Spécialité médicale : Médecine interne;;8;[026019];;
194;simulé;;;185;1;1/1;BORDEAUX;Spécialité chirurgicale : Neurochirurgie;;1;[037029];;
195;simulé;;;186;1;1/21;LYON;Spécialité chirurgicale : Chirurgie générale;Chirurgie viscérale et digestive;21;[026028];;
196;simulé;;;187;1;4/63;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie urologique;63;[015028];;
197;simulé;;;188;1;2/13;ROUEN;Discipline : ANESTHÉSIE réanimation;;13;[024004];;
198;simulé;;;189;1;2/6;BORDEAUX;Discipline : SANTÉ PUBLIQUE;;6;[037007];;
199;simulé;;;190;1;3/45;ILE DE FRANCE;Spécialité médicale : Cardiologie et maladies vasculaires;;45;[015013];;
200;simulé;;;191;1;1/5;SAINT ETIENNE;Discipline : PÉDIATRIE;;5;[027002];;
201;simulé;;;192;1;10/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
202;simulé;;;193;1;2/6;AIX MARSEILLE;Spécialité chirurgicale : Ophtalmologie;;6;[034030];;
203;simulé;;;194;1;1/15;NANCY;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;15;[018028];;
204;simulé;;;195;1;3/17;BORDEAUX;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;17;[037028];;
205;simulé;;;196;1;1/5;MONTPELLIER;Spécialité médicale : Endocrinologie, diabète, maladies métaboliques; diabÃ¨te; maladies métaboliques;;5;[035015]
206;simulé;;;197;1;11/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
207;simulé;;;198;1;8/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
208;simulé;;;199;1;1/8;AIX MARSEILLE;Spécialité médicale : Cardiologie et maladies vasculaires;;8;[034013];;
209;simulé;;;200;1;1/10;CLERMONT-FERRAND;Spécialité chirurgicale : Chirurgie générale;Chirurgie viscérale et digestive;10;[038028];;
210;simulé;;;201;1;3/4;BORDEAUX;Spécialité médicale : Rhumatologie;;4;[037027];;
211;simulé;;;202;1;1/6;ROUEN;Spécialité médicale : Cardiologie et maladies vasculaires;;6;[024013];;
212;simulé;;;203;1;1/5;MONTPELLIER;Spécialité médicale : Neurologie;;5;[035023];;
213;simulé;;;204;1;4/25;LYON;Discipline : ANESTHÉSIE réanimation;;25;[026004];;
214;simulé;;;205;1;2/199;BORDEAUX;Discipline : MÉDECINE générale;;199;[037011];;
215;simulé;;;206;1;2/45;ILE DE FRANCE;Discipline : GYNÉCOLOGIE obstétrique;;45;[015009];;
217;simulé;;;208;1;1/4;TOULOUSE;Discipline : GYNÉCOLOGIE médicale;;4;[040005];;
218;simulé;;;209;1;1/5;BESANCON;Spécialité médicale : Cardiologie et maladies vasculaires;;5;[016013];;
219;simulé;;;210;1;5/63;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;63;[015028];
220;simulé;;;211;1;2/6;TOULOUSE;Spécialité chirurgicale : Ophtalmologie;;6;[040030];;
221;simulé;absence;;212;1;10/20;ILE DE FRANCE;Spécialité médicale : Neurologie;;20;[015023];;
222;simulé;;;213;1;1/4;NANTES;Spécialité médicale : Médecine interne;;4;[030019];;
223;simulé;;;214;1;1/3;GRENOBLE;Spécialité médicale : Neurologie;;3;[025023];;
224;simulé;;;215;1;9/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
225;simulé;absence;;216;1;1/4;BORDEAUX;Discipline : GYNÉCOLOGIE médicale;;4;[037005];;
226;simulé;;;217;1;2/611;ILE DE FRANCE;Discipline : MÉDECINE générale;;611;[015011];;
227;simulé;absence;;218;1;4/45;ILE DE FRANCE;Spécialité médicale : Cardiologie et maladies vasculaires;;45;[015013];;
228;simulé;;;219;1;3/45;ILE DE FRANCE;Discipline : GYNÉCOLOGIE obstétrique;;45;[015009];;
229;simulé;;;220;1;4/15;ILE DE FRANCE;Spécialité médicale : Néphrologie;;15;[015022];;
231;simulé;;;222;1;1/2;AIX MARSEILLE;Spécialité médicale : Médecine nucléaire;;2;[034020];;
232;simulé;;;223;1;1/2;LYON;Discipline : GYNÉCOLOGIE médicale;;2;[026005];;
233;simulé;;;224;1;12/30;ILE DE FRANCE;Spécialité médicale : Médecine interne;;30;[015019];;
234;simulé;absence;;225;1;5/15;ILE DE FRANCE;Spécialité médicale : Néphrologie;;15;[015022];;
235;simulé;;;226;1;1/179;LYON;Discipline : MÉDECINE générale;;179;[026011];;
236;simulé;absence;;227;1;1/111;NANTES;Discipline : MÉDECINE générale;;111;[030011];;
237;simulé;;;228;1;1/10;AIX MARSEILLE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;10;[034026];;
238;simulé;;;229;1;1/15;MONTPELLIER;Discipline : PSYCHIATRIE;;15;[035010];;
239;simulé;;;230;1;4/45;ILE DE FRANCE;Discipline : GYNÉCOLOGIE obstétrique;;45;[015009];;
240;simulé;;;231;1;2/9;TOULOUSE;Spécialité médicale : Cardiologie et maladies vasculaires;;9;[040013];;
241;simulé;absence;;232;1;4/9;BORDEAUX;Spécialité médicale : Cardiologie et maladies vasculaires;;9;[037013];;
242;simulé;;;233;2;1/1;TOULOUSE;Spécialité chirurgicale : Neurochirurgie;;1;[040029];;
243;simulé;;;234;1;1/6;LYON;Spécialité médicale : Neurologie;;6;[026023];;
244;simulé;;;235;1;3/92;ILE DE FRANCE;Discipline : ANESTHÉSIE réanimation;;92;[015004];;
245;simulé;;;236;1;1/4;STRASBOURG;Spécialité médicale : Dermatologie et vénérologie;;4;[020014];;
246;simulé;absence;;237;1;2/21;LYON;Spécialité chirurgicale : Chirurgie générale;Chirurgie maxillo-faciale et stomatologie;21;[026028];;
247;simulé;;;238;1;1/3;TOURS;Spécialité médicale : Dermatologie et vénérologie;;3;[033014];;
248;simulé;;;239;1;6/15;ILE DE FRANCE;Spécialité médicale : Néphrologie;;15;[015022];;
249;simulé;;;240;1;1/4;NANCY;Spécialité médicale : Gastro-entérologie et hépatologie;;4;[018016];;
250;simulé;absence;;241;1;7/15;ILE DE FRANCE;Spécialité médicale : Néphrologie;;15;[015022];;
251;simulé;absence;;242;1;3/21;LYON;Spécialité chirurgicale : Chirurgie générale;Chirurgie orthopédique et traumatologique;21;[026028];;
252;simulé;;;243;1;2/5;BORDEAUX;Spécialité médicale : Dermatologie et vénérologie;;5;[037014];;
253;simulé;;;244;1;2/22;TOULOUSE;Discipline : ANESTHÉSIE réanimation;;22;[040004];;
254;simulé;;;245;1;10/50;ILE DE FRANCE;Spécialité médicale : Radiodiagnostic et imagerie médicale;;50;[015026];;
255;simulé;;;246;1;14/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
256;simulé;;;247;1;2/18;ILE DE FRANCE;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;18;[015031];;
257;simulé;;;248;1;1/7;MONTPELLIER;Spécialité médicale : Cardiologie et maladies vasculaires;;7;[035013];;
258;simulé;;;249;1;1/12;CLERMONT-FERRAND;Discipline : ANESTHÉSIE réanimation;;12;[038004];;
259;simulé;;;250;1;15/29;ILE DE FRANCE;Spécialité chirurgicale : Ophtalmologie;;29;[015030];;
260;simulé;;;251;1;3/18;ILE DE FRANCE;Spécialité chirurgicale : Oto-rhino-laryngologie et chirurgie cervico-faciale;;18;[015031];;
261;simulé;;;252;1;1/4;POITIERS;Spécialité médicale : Médecine interne;;4;[031019];;
262;simulé;;;253;1;4/4;BORDEAUX;Spécialité médicale : Rhumatologie;;4;[037027];;
263;simulé;;;254;1;6/63;ILE DE FRANCE;Spécialité chirurgicale : Chirurgie générale;Chirurgie plastique; reconstructrice et esthétique;63;[015028];
264;simulé;;;255;1;5/45;ILE DE FRANCE;Spécialité médicale : Cardiologie et maladies vasculaires;;45;[015013];;
